InstRating,Lectures,Duration,AvgRating,LastUpdated,Fee,Discount,cbrt_NumberRatings,cbrt_Enrollment,cbrt_Student,cbrt_Review,design,it_software,lifestyle,marketing,personal_development,programming
4.5,286.0,9.8,4.6,3.0,19.99,88.0,27.95101981146316,48.974580734969635,74.04197764395026,44.791629228981385,0,0,0,0,0,0
4.2,66.0,4.966666666666667,4.2,3.0,16.99,88.0,11.416534946769723,20.853094139468666,31.85316844172901,17.819177244251172,0,0,0,0,0,1
4.5,251.0,93.15,4.4,5.0,17.99,89.0,19.00461568378861,31.409752606392612,72.23284954286748,36.717596810018364,0,1,0,0,0,0
4.7,26.0,2.05,4.7,3.0,16.99,80.0,16.913050852924943,25.146868825641153,35.74067763511551,24.546489543587374,0,1,0,0,0,0
4.4,82.0,11.066666666666666,4.4,6.0,16.99,83.0,8.946180865879619,17.9401303066522,41.425278035008475,25.02770262457834,0,0,0,0,1,0
4.5,118.0,10.1,4.6,3.0,21.99,92.0,9.946379666537181,15.461228105031841,20.290752661661976,12.02310363809359,0,0,0,0,0,1
4.5,504.0,99.36666666666666,4.6,3.0,23.99,77.0,17.324782106818056,28.699634566605607,37.513891149953004,17.949446630106138,0,0,0,0,0,1
4.5,246.0,32.5,4.4,5.0,20.99,88.0,22.569824242567748,40.40790944052139,78.7948530913009,36.73761286748416,0,0,0,0,0,1
4.6,8.0,2.65,4.5,3.0,16.986486486486488,90.0,12.260507436149457,18.07173023528025,20.329540335822635,13.572088082974533,0,1,0,0,0,0
4.7,251.0,31.716666666666665,4.7,4.0,27.99,87.0,11.904331920977695,27.456349483346752,50.03144688438951,31.81336674199124,0,0,0,0,1,0
4.4,80.0,9.2,4.3,3.0,16.99,89.0,6.390676528399307,9.213025029190486,13.59016012573747,8.832284990891335,0,0,1,0,0,0
4.4,52.0,5.2,4.5,3.0,16.99,92.0,12.758868621497072,22.50617114677132,44.97068048965536,19.95991973226195,0,0,0,0,0,0
4.5,119.0,18.23333333333333,4.7,4.0,23.99,83.0,5.8771306592107395,12.518904727821097,28.73479977849272,7.465022313634496,0,0,1,0,0,0
4.4,110.0,8.383333333333333,4.5,10.0,16.99,83.0,14.16638215499356,34.747295478146974,40.07901049744161,20.656544933737216,0,0,0,0,1,0
4.6,122.0,6.433333333333334,4.6,4.0,17.986486486486488,89.0,11.857101383012346,21.91010146783434,53.52661208426554,28.49050673865748,0,1,0,0,0,0
4.6,171.0,16.6,4.6,5.0,17.986486486486488,92.0,15.155421094002053,23.70530838263619,35.97271595242581,23.638684997039803,0,0,0,0,0,1
4.1,42.0,5.4,4.3,6.0,16.99,51.0,9.4615249029094,16.699446597412148,41.506893904813445,14.80031652597941,0,0,0,0,0,1
4.6,19.0,4.9,4.6,8.0,27.99,76.0,17.9535841157895,36.130442421848684,68.50531864149583,37.83585709432775,0,0,0,0,1,0
4.5,52.0,9.4,4.5,3.0,19.99,81.0,15.12634029513299,25.226213589315137,105.12664989589508,69.75732292089707,0,0,0,0,0,0
4.5,81.0,8.266666666666667,4.7,5.0,16.99,81.0,9.799333565676578,17.6281745702656,116.31730407156998,77.35402282010755,0,0,0,0,0,0
4.2,24.0,1.1666666666666667,4.1,3.0,19.986486486486484,88.0,7.126935967201603,13.09010382485845,40.51947445271874,19.58564129531379,0,1,0,0,0,0
4.6,65.0,9.95,4.5,3.0,24.99,92.0,18.544087691835365,31.38811401863088,65.84175433947827,48.599399361462574,0,0,0,0,0,1
4.5,52.0,4.566666666666666,4.4,6.0,16.99,73.0,25.082924636066203,38.06567589977012,71.63875122147209,37.292063948550314,0,0,0,0,1,0
4.4,48.0,6.25,3.9,3.0,16.99,85.0,7.299893662052676,13.892026550371671,32.02016957612691,19.773272784286704,0,0,0,0,0,1
